2026-05-01T21:44:09  INFO     Logging to /Users/jackson/kalshi-bot/arb.log
2026-05-01T21:44:09  INFO     ================================================================
2026-05-01T21:44:09  INFO     ARB BOT  —  PAPER MODE  —  Kalshi × Polymarket via Oddpool
2026-05-01T21:44:09  INFO     ================================================================
2026-05-01T21:44:09  INFO     Fees: Kalshi 7% on profit | Polymarket 2% on profit
2026-05-01T21:44:09  INFO     Min edge: $0.0020/dollar | Max size per leg: $100 | Paper only
2026-05-01T21:44:10  INFO     Catalog: 0 crypto events total, 0 with kalshi ∩ polymarket
2026-05-01T21:44:10  WARNING  No matching events — sleeping 60s before retry
2026-05-01T21:45:16  INFO     Catalog: 0 crypto events total, 0 with kalshi ∩ polymarket
2026-05-01T21:45:16  WARNING  No matching events — sleeping 60s before retry
2026-05-01T21:46:21  INFO     Catalog: 0 crypto events total, 0 with kalshi ∩ polymarket
2026-05-01T21:46:21  WARNING  No matching events — sleeping 60s before retry
2026-05-01T21:47:26  INFO     Catalog: 0 crypto events total, 0 with kalshi ∩ polymarket
2026-05-01T21:47:26  WARNING  No matching events — sleeping 60s before retry
2026-05-01T21:48:32  INFO     Catalog: 0 crypto events total, 0 with kalshi ∩ polymarket
2026-05-01T21:48:32  WARNING  No matching events — sleeping 60s before retry
2026-05-01T21:49:37  INFO     Catalog: 0 crypto events total, 0 with kalshi ∩ polymarket
2026-05-01T21:49:37  WARNING  No matching events — sleeping 60s before retry
2026-05-01T21:50:43  INFO     Catalog: 0 crypto events total, 0 with kalshi ∩ polymarket
2026-05-01T21:50:43  WARNING  No matching events — sleeping 60s before retry
2026-05-01T21:51:30  INFO     ============================================================
2026-05-01T21:51:30  INFO     ARB BOT  —  PAPER MODE  —  Kalshi × Polymarket (polling)
2026-05-01T21:51:30  INFO     Endpoint : https://api.oddpool.com/arbitrage/current
2026-05-01T21:51:30  INFO     Interval : 30s  |  Threshold: cost < 0.97
2026-05-01T21:51:30  INFO     ============================================================
2026-05-01T21:51:34  INFO     ARB  Venezuela Leader End of 2026 | DIR-B | cost=0.9500 | profit=5.00¢ | k_vol=967076 | p_vol=1561922  [PAPER]
2026-05-01T21:51:34  INFO     ARB  US Inflation in 2026 | DIR-A | cost=0.9560 | profit=4.40¢ | k_vol=0 | p_vol=33931  [PAPER]
2026-05-01T21:51:34  INFO     ARB  US Inflation in 2026 | DIR-B | cost=0.0450 | profit=95.50¢ | k_vol=0 | p_vol=33931  [PAPER]
2026-05-01T21:51:34  INFO     ARB  Venezuela Leader End of 2026 | DIR-B | cost=0.9630 | profit=3.70¢ | k_vol=381206 | p_vol=721171  [PAPER]
2026-05-01T21:51:34  INFO     ARB  LoL LCK 2026 Season Winner | DIR-A | cost=0.9420 | profit=5.80¢ | k_vol=0 | p_vol=626545  [PAPER]
2026-05-01T21:51:34  INFO     ARB  LoL LCK 2026 Season Winner | DIR-B | cost=0.0610 | profit=93.90¢ | k_vol=0 | p_vol=626545  [PAPER]
2026-05-01T21:51:34  INFO     ARB  Venezuela Leader End of 2026 | DIR-B | cost=0.9660 | profit=3.40¢ | k_vol=30574 | p_vol=976524  [PAPER]
2026-05-01T21:51:34  INFO     ARB  Presidential Election Winner 2028 | DIR-B | cost=0.9670 | profit=3.30¢ | k_vol=3317433 | p_vol=9492023  [PAPER]
2026-05-01T21:51:34  INFO     ARB  SpaceX Public Ticker Prediction | DIR-B | cost=0.0040 | profit=99.60¢ | k_vol=0 | p_vol=849658  [PAPER]
2026-05-01T21:51:34  INFO     ARB  NL Cy Young Winner 2026 | DIR-B | cost=0.9690 | profit=3.10¢ | k_vol=28227 | p_vol=0  [PAPER]
2026-05-01T21:51:34  INFO     ARB  Balance of Power 2026 Midterms | DIR-B | cost=0.9600 | profit=4.00¢ | k_vol=1187907 | p_vol=1134470  [PAPER]
2026-05-01T21:51:34  INFO     ARB  California Governor Election 2026 | DIR-B | cost=0.9600 | profit=4.00¢ | k_vol=1607772 | p_vol=682236  [PAPER]
2026-05-01T21:51:34  INFO     ARB  Fields Medal Winner 2026 | DIR-B | cost=0.9600 | profit=4.00¢ | k_vol=8289 | p_vol=116553  [PAPER]
2026-05-01T21:51:34  INFO     ARB  SpaceX Public Ticker Prediction | DIR-B | cost=0.0020 | profit=99.80¢ | k_vol=0 | p_vol=580496  [PAPER]
2026-05-01T21:51:34  INFO     ARB  Next UK Prime Minister in 2026 | DIR-B | cost=0.0160 | profit=98.40¢ | k_vol=0 | p_vol=722746  [PAPER]
2026-05-01T21:51:34  INFO     ARB  Venezuela Leader End of 2026 | DIR-A | cost=0.9640 | profit=3.60¢ | k_vol=589169 | p_vol=1508108  [PAPER]
2026-05-01T21:51:34  INFO     ARB  Brazil Presidential Election 2026 | DIR-B | cost=0.9660 | profit=3.40¢ | k_vol=300773 | p_vol=4669447  [PAPER]
2026-05-01T21:51:34  INFO     ARB  US Aliens Existence Confirmed Before 2027 | DIR-B | cost=0.9670 | profit=3.30¢ | k_vol=16202767 | p_vol=26180830  [PAPER]
2026-05-01T21:51:34  INFO     ARB  SpaceX IPO Closing Market Cap | DIR-B | cost=0.0020 | profit=99.80¢ | k_vol=0 | p_vol=0  [PAPER]
2026-05-01T21:51:34  INFO     ARB  Lai Ching-te Out as President of Taiwan in 2026 | DIR-A | cost=0.9500 | profit=5.00¢ | k_vol=0 | p_vol=28054  [PAPER]
2026-05-01T21:51:34  INFO     ARB  Lai Ching-te Out as President of Taiwan in 2026 | DIR-B | cost=0.0600 | profit=94.00¢ | k_vol=0 | p_vol=28054  [PAPER]
2026-05-01T21:51:34  INFO     ARB  Who Will Acquire TikTok? | DIR-B | cost=0.0120 | profit=98.80¢ | k_vol=0 | p_vol=34769  [PAPER]
2026-05-01T21:51:34  INFO     ARB  Katy Perry and Justin Trudeau Engagement in 2026 | DIR-B | cost=0.9600 | profit=4.00¢ | k_vol=13407 | p_vol=37078  [PAPER]
2026-05-01T21:51:34  INFO     ARB  SpaceX IPO Closing Market Cap | DIR-A | cost=0.9590 | profit=4.10¢ | k_vol=0 | p_vol=0  [PAPER]
2026-05-01T21:51:34  INFO     ARB  SpaceX IPO Closing Market Cap | DIR-B | cost=0.0420 | profit=95.80¢ | k_vol=0 | p_vol=0  [PAPER]
2026-05-01T21:51:34  INFO     ARB  SpaceX Public Ticker Prediction | DIR-B | cost=0.0100 | profit=99.00¢ | k_vol=0 | p_vol=629189  [PAPER]
2026-05-01T21:51:34  INFO     ARB  Who Will Acquire TikTok? | DIR-A | cost=0.9670 | profit=3.30¢ | k_vol=0 | p_vol=113782  [PAPER]
2026-05-01T21:51:34  INFO     ARB  Who Will Acquire TikTok? | DIR-B | cost=0.0380 | profit=96.20¢ | k_vol=0 | p_vol=113782  [PAPER]
2026-05-01T21:51:34  INFO     Poll complete — 81 opportunity records received
2026-05-01T21:51:48  INFO     Catalog: 0 crypto events total, 0 with kalshi ∩ polymarket
2026-05-01T21:51:48  WARNING  No matching events — sleeping 60s before retry
2026-05-01T21:52:04  INFO     ARB  Israel Prime Minister Election 2045 | DIR-B | cost=0.8800 | profit=12.00¢ | k_vol=25707 | p_vol=1068299  [PAPER]
2026-05-01T21:52:04  INFO     ARB  PFA Players' Player of the Year Winner 2025-2026 | DIR-A | cost=0.8800 | profit=12.00¢ | k_vol=29755 | p_vol=22298  [PAPER]
2026-05-01T21:52:04  INFO     ARB  Largest Company End of June 2026 | DIR-A | cost=0.7130 | profit=28.70¢ | k_vol=0 | p_vol=1174393  [PAPER]
2026-05-01T21:52:04  INFO     ARB  Largest Company End of June 2026 | DIR-B | cost=0.2900 | profit=71.00¢ | k_vol=0 | p_vol=1174393  [PAPER]
2026-05-01T21:52:04  INFO     ARB  GPT-6 Release Prediction | DIR-A | cost=0.9600 | profit=4.00¢ | k_vol=0 | p_vol=145104  [PAPER]
2026-05-01T21:52:04  INFO     ARB  GPT-6 Release Prediction | DIR-B | cost=0.0700 | profit=93.00¢ | k_vol=0 | p_vol=145104  [PAPER]
2026-05-01T21:52:04  INFO     ARB  Trump and Putin Next Meeting Location 2029 | DIR-B | cost=0.9360 | profit=6.40¢ | k_vol=3079 | p_vol=964409  [PAPER]
2026-05-01T21:52:04  INFO     ARB  Discord IPO Closing Market Cap | DIR-A | cost=0.8880 | profit=11.20¢ | k_vol=0 | p_vol=297935  [PAPER]
